Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Price_Range,Year,Month,Quarter,Day_of_Week
2004-08-19,2.4922,2.5846,2.3834,2.4837,893181924,-0.3411,0.2012,2004,8,3,Thursday
2004-08-20,2.6901,2.7093,2.4962,2.5088,456686856,-6.7395,0.2131,2004,8,3,Friday
2004-08-23,2.7172,2.8185,2.7085,2.7507,365122512,1.2329,0.11,2004,8,3,Monday
2004-08-24,2.6047,2.7718,2.5724,2.7629,304946748,6.0736,0.1994,2004,8,3,Tuesday
2004-08-25,2.6328,2.6824,2.5801,2.6069,183772044,-0.9837,0.1023,2004,8,3,Wednesday
2004-08-26,2.6802,2.6812,2.5995,2.6067,141897960,-2.7423,0.0817,2004,8,3,Thursday
2004-08-27,2.6365,2.6978,2.6251,2.6849,124235640,1.8358,0.0727,2004,8,3,Friday
2004-08-30,2.5337,2.6201,2.5337,2.6149,103935960,3.2048,0.0864,2004,8,3,Monday
2004-08-31,2.5426,2.5759,2.5374,2.5409,98357544,-0.0669,0.0385,2004,8,3,Tuesday
2004-09-01,2.4899,2.5575,2.4755,2.5508,182765052,2.4459,0.082,2004,9,3,Wednesday
2004-09-02,2.5212,2.5426,2.4574,2.4636,302373324,-2.2846,0.0852,2004,9,3,Thursday
2004-09-03,2.484,2.527,2.4668,2.5073,103048848,0.938,0.0602,2004,9,3,Friday
2004-09-07,2.523,2.5334,2.474,2.5088,116950932,-0.5628,0.0594,2004,9,3,Tuesday
2004-09-08,2.5409,2.559,2.4962,2.5021,99712188,-1.527,0.0628,2004,9,3,Wednesday
2004-09-09,2.5411,2.551,2.5086,2.5466,81234684,0.2164,0.0424,2004,9,3,Thursday
2004-09-10,2.6161,2.6467,2.516,2.5235,173977848,-3.5396,0.1307,2004,9,3,Friday
2004-09-13,2.67,2.6926,2.6442,2.6484,156882960,-0.809,0.0484,2004,9,3,Monday
2004-09-14,2.7691,2.7818,2.6524,2.6688,216579204,-3.6221,0.1294,2004,9,3,Tuesday
2004-09-15,2.7818,2.8372,2.7371,2.746,214261524,-1.2869,0.1001,2004,9,3,Wednesday
2004-09-16,2.8307,2.8762,2.7731,2.7902,185326488,-1.4307,0.1031,2004,9,3,Thursday
2004-09-17,2.9181,2.9181,2.8203,2.8419,189450360,-2.6113,0.0978,2004,9,3,Friday
2004-09-20,2.9646,3.0202,2.9003,2.9047,212575212,-2.0205,0.1199,2004,9,3,Monday
2004-09-21,2.9268,2.9909,2.9186,2.9758,144575280,1.6742,0.0723,2004,9,3,Tuesday
2004-09-22,2.9402,2.9723,2.9013,2.9159,151624224,-0.8265,0.071,2004,9,3,Wednesday
2004-09-23,3.0009,3.0458,2.9065,2.9517,170713116,-1.6395,0.1393,2004,9,3,Thursday
2004-09-24,2.9763,3.0823,2.9745,3.0038,182469348,0.924,0.1078,2004,9,3,Friday
2004-09-27,2.9373,3.0023,2.9258,2.9696,141322536,1.0996,0.0765,2004,9,3,Monday
2004-09-28,3.1509,3.1643,2.9857,3.0128,338581080,-4.3829,0.1786,2004,9,3,Tuesday
2004-09-29,3.2557,3.3535,3.1352,3.1469,610329060,-3.3418,0.2183,2004,9,3,Wednesday
2004-09-30,3.2189,3.286,3.204,3.2264,275160564,0.233,0.082,2004,9,3,Thursday
2004-10-01,3.2929,3.3342,3.2015,3.2487,302497200,-1.3423,0.1327,2004,10,4,Friday
2004-10-04,3.3545,3.3995,3.329,3.3593,260455284,0.1431,0.0705,2004,10,4,Monday
2004-10-05,3.4367,3.4407,3.2845,3.3446,299464236,-2.6799,0.1562,2004,10,4,Tuesday
2004-10-06,3.4047,3.4387,3.3779,3.4164,267628104,0.3436,0.0608,2004,10,4,Wednesday
2004-10-07,3.4487,3.4743,3.3915,3.4007,282301416,-1.3918,0.0828,2004,10,4,Thursday
2004-10-08,3.4208,3.4693,3.4032,3.4454,221390388,0.7191,0.0661,2004,10,4,Friday
2004-10-11,3.3595,3.4489,3.3245,3.4027,209442348,1.2859,0.1244,2004,10,4,Monday
2004-10-12,3.4127,3.4179,3.3133,3.3391,233310456,-2.1567,0.1046,2004,10,4,Tuesday
2004-10-13,3.4996,3.5654,3.4792,3.5597,395324280,1.7173,0.0862,2004,10,4,Wednesday
2004-10-14,3.5269,3.5363,3.4415,3.5023,208842948,-0.6975,0.0948,2004,10,4,Thursday
2004-10-15,3.5793,3.6138,3.5257,3.5997,263895840,0.5699,0.0881,2004,10,4,Friday
2004-10-18,3.7047,3.7057,3.5073,3.5567,280726992,-3.9949,0.1984,2004,10,4,Monday
2004-10-19,3.6744,3.7852,3.6598,3.738,362197440,1.7309,0.1254,2004,10,4,Tuesday
